name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Texas,2000-01-01,24.66666666666667,5.38888888888889,58.4,24.66666666666667,5.38888888888889,14.666666666666666,50.4,75.4,0.0,0,0.0,,,,,6.25856,165.8,3436847.2109999997,51.2,8.7,,,,,2000-01-01T07:27:31,2000-01-01T17:41:21,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72241612971,72254013904,72254413958"
Texas,2000-01-02,23.444444444444443,17.333333333333332,68.2,23.444444444444443,17.333333333333332,20.11111111111111,61.8,80.8,0.0,0,0.0,,,,,6.213856,179.7,3424317.568,76.8,9.9,,,,,2000-01-02T07:27:45,2000-01-02T17:42:04,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72241612971,72254013904,72254413958"
Texas,2000-01-03,21.944444444444443,11.944444444444445,63.7,21.944444444444443,11.944444444444445,17.61111111111111,33.5,38.9,0.0,0,0.0,,,,,8.180832,291.4,3432106.2649999997,39.1,9.9,,,,,2000-01-03T07:27:58,2000-01-03T17:42:48,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72241612971,72254013904,72254413958"
Texas,2000-01-04,12.833333333333334,-0.11111111111111072,44.2,12.833333333333334,-1.9444444444444444,4.944444444444444,18.5,37.8,0.0,0,0.0,,,,,7.867904,328.7,3487981.6999999997,0.0,9.9,,,,,2000-01-04T07:28:09,2000-01-04T17:43:32,0.93,Clear,Clear conditions throughout the day.,clear-day,"72241612971,72254013904,72254413958"
Texas,2000-01-05,15.666666666666666,-4.055555555555555,42.4,15.666666666666666,-4.055555555555555,5.444444444444443,22.3,49.1,0.0,0,0.0,,,,,6.0350399999999995,160.3,3470372.4719999996,0.0,9.9,,,,,2000-01-05T07:28:18,2000-01-05T17:44:18,0.97,Clear,Clear conditions throughout the day.,clear-day,"72241612971,72254013904,72254413958"
Texas,2000-01-06,19.333333333333332,4.055555555555554,53.1,19.333333333333332,2.833333333333334,11.555555555555554,46.7,80.7,0.0762,100,4.17,rain,,,,4.202176,86.4,3461906.4969999995,48.2,8.9,,,,,2000-01-06T07:28:26,2000-01-06T17:45:04,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72241612971,72254013904,72254413958"
Texas,2000-01-07,12.888888888888891,10.055555555555555,51.3,12.888888888888891,10.055555555555555,10.722222222222221,51.0,99.0,14.325599999999998,100,79.17,rain,,,,5.006848,23.9,3471049.75,100.0,3.6,,,,,2000-01-07T07:28:32,2000-01-07T17:45:51,0.03,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72241612971,72254013904,72254413958"
Texas,2000-01-08,16.27777777777778,9.555555555555557,53.4,16.27777777777778,9.555555555555557,11.88888888888889,50.0,89.3,4.571999999999999,100,20.83,rain,,,,3.621024,343.2,3449038.215,84.7,7.5,,,,,2000-01-08T07:28:36,2000-01-08T17:46:38,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72241612971,72254013904,72254413958"
Texas,2000-01-09,24.88888888888889,4.555555555555557,57.4,24.88888888888889,4.555555555555557,14.11111111111111,44.1,67.9,0.0,0,0.0,,,,,5.453887999999999,233.2,3428381.2359999996,6.0,7.8,,,,,2000-01-09T07:28:39,2000-01-09T17:47:26,0.1,Clear,Clear conditions throughout the day.,clear-day,"72241612971,72254013904,72254413958"
Texas,2000-01-10,26.166666666666664,6.888888888888888,59.1,26.166666666666664,4.833333333333335,14.555555555555555,34.7,40.2,0.0,0,0.0,,,,,6.3032639999999995,249.8,3435492.655,0.0,9.9,,,,,2000-01-10T07:28:40,2000-01-10T17:48:15,0.14,Clear,Clear conditions throughout the day.,clear-day,"72241612971,72254013904,72254413958"
Texas,2000-01-11,24.333333333333332,4.555555555555557,57.7,24.333333333333332,4.555555555555557,14.277777777777779,45.9,66.1,0.0,0,0.0,,,,,5.185664,177.3,3442265.435,8.1,9.7,,,,,2000-01-11T07:28:39,2000-01-11T17:49:05,0.17,Clear,Clear conditions throughout the day.,clear-day,"72241612971,72254013904,72254413958"
Texas,2000-01-12,25.166666666666668,16.166666666666668,68.8,25.166666666666668,16.166666666666668,20.444444444444443,63.9,85.2,0.0,0,0.0,,,,,5.543296,191.2,3442604.074,73.4,8.5,,,,,2000-01-12T07:28:37,2000-01-12T17:49:54,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72241612971,72254013904,72254413958"
Texas,2000-01-13,21.27777777777778,10.666666666666668,61.6,21.27777777777778,10.666666666666668,16.444444444444443,44.7,59.6,0.0,0,0.0,,,,,7.15264,7.9,3474774.7789999996,50.0,8.1,,,,,2000-01-13T07:28:33,2000-01-13T17:50:45,0.24,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72241612971,72254013904,72254413958"
Texas,2000-01-14,19.333333333333332,9.333333333333332,57.1,19.333333333333332,7.3888888888888875,13.833333333333334,23.4,28.3,0.0,0,0.0,,,,,4.112768,65.7,3505590.928,71.2,9.9,,,,,2000-01-14T07:28:27,2000-01-14T17:51:36,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72241612971,72254013904,72254413958"
Texas,2000-01-15,23.833333333333336,8.61111111111111,60.6,23.833333333333336,8.499999999999998,15.777777777777779,48.5,65.5,0.0,0,0.0,,,,,6.3032639999999995,162.3,3485611.2269999995,71.5,9.9,,,,,2000-01-15T07:28:19,2000-01-15T17:52:27,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72241612971,72254013904,72254413958"
Texas,2000-01-16,24.111111111111114,12.388888888888888,64.2,24.111111111111114,12.388888888888888,17.88888888888889,55.8,76.4,0.0,0,0.0,,,,,6.169152,181.5,3473758.8619999997,52.5,9.4,,,,,2000-01-16T07:28:10,2000-01-16T17:53:18,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72241612971,72254013904,72254413958"
Texas,2000-01-17,25.33333333333333,13.055555555555555,64.6,25.33333333333333,13.055555555555555,18.111111111111107,56.5,77.6,0.0,0,0.0,,,,,4.9621439999999994,188.2,3468340.638,66.8,8.1,,,,,2000-01-17T07:28:00,2000-01-17T17:54:10,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72241612971,72254013904,72254413958"
Texas,2000-01-18,28.22222222222222,13.833333333333334,68.3,27.666666666666668,13.833333333333334,20.11111111111111,55.8,68.4,0.0,0,0.0,,,,,4.872736,201.1,3451408.688,33.2,9.4,,,,,2000-01-18T07:27:47,2000-01-18T17:55:02,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72241612971,72254013904,72254413958"
Texas,2000-01-19,30.5,10.388888888888891,67.7,29.166666666666668,10.388888888888891,19.555555555555557,50.8,60.2,0.0,0,0.0,,,,,7.6443840000000005,211.2,3434138.099,32.5,9.7,,,,,2000-01-19T07:27:33,2000-01-19T17:55:55,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72241612971,72254013904,72254413958"
