Name,MapDate,DSCI
Texas,20000104,223
Texas,20000111,226
Texas,20000118,226
Texas,20000125,226
Texas,20000201,238
Texas,20000208,238
Texas,20000215,241
Texas,20000222,243
Texas,20000229,271
Texas,20000307,269
Texas,20000314,270
Texas,20000321,263
Texas,20000328,217
Texas,20000404,211
Texas,20000411,208
Texas,20000418,204
Texas,20000425,216
Texas,20000502,204
Texas,20000509,198
Texas,20000516,201
Texas,20000523,174
Texas,20000530,181
Texas,20000606,126
Texas,20000613,125
Texas,20000620,121
Texas,20000627,101
Texas,20000704,61
Texas,20000711,72
Texas,20000718,101
Texas,20000725,115
Texas,20000801,131
Texas,20000808,145
Texas,20000815,159
Texas,20000822,169
Texas,20000829,216
Texas,20000905,281
Texas,20000912,312
Texas,20000919,311
Texas,20000926,303
Texas,20001003,304
Texas,20001010,292
Texas,20001017,283
Texas,20001024,224
Texas,20001031,211
Texas,20001107,69
Texas,20001114,73
Texas,20001121,66
Texas,20001128,64
Texas,20001205,57
Texas,20001212,57
Texas,20001219,58
Texas,20001226,54
Texas,20010102,54
Texas,20010109,54
Texas,20010116,54
Texas,20010123,49
Texas,20010130,47
Texas,20010206,43
Texas,20010213,43
Texas,20010220,42
Texas,20010227,43
Texas,20010306,45
Texas,20010313,45
Texas,20010320,45
Texas,20010327,42
Texas,20010403,42
Texas,20010410,43
Texas,20010417,46
Texas,20010424,46
Texas,20010501,48
Texas,20010508,45
Texas,20010515,44
Texas,20010522,46
Texas,20010529,45
Texas,20010605,45
Texas,20010612,57
Texas,20010619,84
Texas,20010626,102
Texas,20010703,103
Texas,20010710,112
Texas,20010717,142
Texas,20010724,168
Texas,20010731,200
Texas,20010807,220
Texas,20010814,187
Texas,20010821,178
Texas,20010828,165
Texas,20010904,118
Texas,20010911,110
Texas,20010918,105
Texas,20010925,99
Texas,20011002,99
Texas,20011009,101
Texas,20011016,103
Texas,20011023,125
Texas,20011030,130
Texas,20011106,150
Texas,20011113,152
Texas,20011120,131
Texas,20011127,125
Texas,20011204,123
Texas,20011211,117
Texas,20011218,114
Texas,20011225,114
Texas,20020101,113
Texas,20020108,113
Texas,20020115,112
Texas,20020122,113
Texas,20020129,113
Texas,20020205,102
Texas,20020212,86
Texas,20020219,83
Texas,20020226,87
Texas,20020305,97
Texas,20020312,125
Texas,20020319,123
Texas,20020326,126
