#  Harris County, Texas Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1992-2020
# Missing: -99
Date,Value,Anomaly
199201,51.5,-2.1
199202,59.0,1.6
199203,63.7,0.4
199204,68.2,-0.9
199205,73.1,-3.2
199206,81.2,-0.8
199207,83.1,-1.0
199208,80.0,-4.4
199209,79.0,-0.9
199210,71.0,-0.2
199211,56.4,-5.5
199212,56.3,1.3
199301,53.1,-0.5
199302,56.4,-1.0
199303,60.8,-2.5
199304,65.4,-3.7
199305,72.5,-3.8
199306,80.6,-1.4
199307,84.2,0.1
199308,85.1,0.7
199309,79.5,-0.4
199310,69.0,-2.2
199311,56.5,-5.4
199312,54.4,-0.6
199401,52.2,-1.4
199402,55.2,-2.2
199403,62.1,-1.2
199404,68.6,-0.5
199405,74.7,-1.6
199406,81.8,-0.2
199407,84.0,-0.1
199408,81.7,-2.7
199409,77.2,-2.7
199410,70.9,-0.3
199411,65.8,3.9
199412,57.1,2.1
199501,54.0,0.4
199502,58.2,0.8
199503,62.1,-1.2
199504,67.6,-1.5
199505,76.5,0.2
199506,79.4,-2.6
199507,83.9,-0.2
199508,84.0,-0.4
199509,80.5,0.6
199510,69.8,-1.4
199511,60.8,-1.1
199512,56.0,1.0
199601,52.0,-1.6
199602,58.2,0.8
199603,57.2,-6.1
199604,67.9,-1.2
199605,79.4,3.1
199606,81.4,-0.6
199607,84.6,0.5
199608,82.1,-2.3
199609,78.2,-1.7
199610,70.3,-0.9
199611,62.9,1.0
199612,57.6,2.6
199701,51.0,-2.6
199702,55.9,-1.5
199703,65.2,1.9
199704,64.1,-5.0
199705,73.9,-2.4
199706,80.6,-1.4
199707,84.7,0.6
199708,84.4,0.0
199709,80.0,0.1
199710,69.5,-1.7
199711,57.5,-4.4
199712,51.6,-3.4
199801,58.0,4.4
199802,56.3,-1.1
199803,60.4,-2.9
199804,66.9,-2.2
199805,78.9,2.6
199806,85.1,3.1
199807,86.5,2.4
199808,84.7,0.3
199809,82.1,2.2
199810,72.4,1.2
199811,64.2,2.3
199812,55.6,0.6
199901,57.5,3.9
199902,62.4,5.0
199903,63.2,-0.1
199904,72.0,2.9
199905,76.3,0.0
199906,81.2,-0.8
199907,82.8,-1.3
199908,86.4,2.0
199909,78.4,-1.5
199910,69.6,-1.6
199911,63.6,1.7
199912,54.6,-0.4
200001,57.4,3.8
200002,62.2,4.8
200003,66.9,3.6
200004,68.6,-0.5
200005,78.0,1.7
200006,81.5,-0.5
200007,85.1,1.0
200008,84.9,0.5
200009,79.8,-0.1
200010,71.3,0.1
200011,58.6,-3.3
200012,48.0,-7.0
200101,49.6,-4.0
200102,59.6,2.2
200103,57.5,-5.8
200104,71.6,2.5
200105,76.0,-0.3
200106,80.3,-1.7
200107,83.7,-0.4
200108,83.4,-1.0
200109,77.2,-2.7
200110,67.5,-3.7
200111,63.9,2.0
200112,56.3,1.3
200201,55.4,1.8
200202,51.7,-5.7
200203,61.9,-1.4
200204,73.0,3.9
200205,76.1,-0.2
200206,80.6,-1.4
200207,83.0,-1.1
200208,83.0,-1.4
200209,79.0,-0.9
200210,70.8,-0.4
200211,58.4,-3.5
200212,54.1,-0.9
200301,49.9,-3.7
200302,53.6,-3.8
200303,60.8,-2.5
200304,69.5,0.4
200305,79.3,3.0
200306,81.5,-0.5
200307,82.3,-1.8
200308,83.8,-0.6
200309,76.7,-3.2
200310,70.8,-0.4
200311,64.8,2.9
200312,53.4,-1.6
200401,54.8,1.2
200402,52.8,-4.6
200403,66.4,3.1
200404,68.6,-0.5
200405,75.5,-0.8
200406,80.2,-1.8
200407,83.1,-1.0
200408,82.2,-2.2
200409,80.2,0.3
200410,76.6,5.4
200411,62.7,0.8
200412,53.7,-1.3
200501,56.7,3.1
200502,58.6,1.2
200503,61.6,-1.7
200504,67.6,-1.5
200505,74.9,-1.4
200506,82.8,0.8
200507,84.1,0.0
200508,84.5,0.1
200509,83.4,3.5
200510,70.7,-0.5
200511,64.7,2.8
200512,52.6,-2.4
200601,58.7,5.1
200602,55.4,-2.0
200603,65.5,2.2
200604,73.1,4.0
200605,76.3,0.0
200606,80.7,-1.3
200607,82.6,-1.5
200608,84.6,0.2
200609,78.5,-1.4
200610,71.7,0.5
200611,62.4,0.5
200612,55.2,0.2
200701,50.2,-3.4
200702,54.2,-3.2
200703,66.0,2.7
200704,66.0,-3.1
