year,month,co2_correct
2006,7,379.9709523809524
2006,8,381.65357142857147
2006,9,381.9713043478261
2006,10,384.8036585365854
2006,11,387.09066666666666
2007,1,388.34666666666664
2007,2,389.47666666666663
2007,3,388.88725
2007,4,386.86466666666666
2007,5,384.5977083333333
2007,6,384.09382978723403
2007,7,384.0768181818182
2007,8,382.77
2007,9,386.47941176470584
2007,10,386.7829166666667
2007,11,389.70454545454544
2007,12,390.53000000000003
2008,1,392.16076923076923
2008,2,393.08033333333333
2008,3,394.48595238095237
2008,4,390.15333333333336
2008,5,385.5377777777778
2008,6,386.00612903225806
2008,7,386.22810810810813
2008,8,387.9291304347826
2008,9,381.7077777777778
2008,10,387.2604
2008,11,392.69815384615384
2008,12,392.0073469387755
2009,1,392.2108
2009,2,392.69565217391306
2009,3,395.0332558139535
2009,4,393.19952380952384
2009,5,389.9437209302326
2009,6,391.48304347826087
2009,7,392.892
2009,8,387.29533333333336
2009,9,388.36323529411766
2009,10,391.2124324324324
2009,11,390.96684210526314
2009,12,394.4036842105263
2010,1,396.7077777777778
2010,2,398.74833333333333
2010,3,396.16470588235296
2010,4,393.7940425531915
2010,5,390.7105714285714
2010,6,392.3872972972973
2010,7,390.0926666666667
2010,8,387.40742857142857
2010,9,391.79053571428574
2010,10,389.8071052631579
2010,11,394.51666666666665
2010,12,400.65236842105264
2011,1,399.61926829268293
2011,2,398.0222222222222
2011,3,398.49666666666667
2011,4,395.4984210526316
2011,5,395.8865217391304
2011,6,394.3276190476191
2011,7,393.521
2011,8,392.40263157894736
2011,9,390.8755555555556
2011,10,394.46411764705886
2011,11,396.0323529411765
2011,12,399.25
2012,1,398.64
2012,2,399.5230769230769
2012,3,395.2933333333333
2012,4,395.0968421052632
2012,5,392.7272222222222
2012,6,392.93523809523805
2012,7,394.9835294117647
2012,8,393.715
2012,9,394.7322222222222
2012,10,394.00722222222225
2012,11,399.38111111111107
2012,12,400.9558333333334
2013,1,403.8645
2013,2,401.15764705882356
2013,3,401.955
2013,4,399.837
2013,5,398.073
2013,6,395.78684210526313
2013,7,394.7206666666667
2013,8,396.65375
2013,9,396.59315789473686
2013,10,395.059
2013,11,400.79173913043485
2013,12,403.1735
2014,1,402.68555555555554
2014,2,407.17105263157896
2014,3,407.12600000000003
2014,4,402.3573684210526
2014,5,399.77
2014,6,395.85647058823525
2014,7,397.97625
2014,8,396.7676470588235
2014,9,398.5672222222222
2014,10,397.20875
2014,11,402.878
2014,12,409.87105263157895
2015,1,408.5573333333333
2015,2,408.4453846153846
2015,3,410.39818181818185
2015,4,403.44066666666663
2015,5,401.800625
2015,6,401.68333333333334
2015,7,400.0586666666667
2015,8,400.74083333333334
2015,9,398.955
2015,10,403.24533333333335
2015,11,407.265
2015,12,407.1072222222222
2016,1,413.29066666666665
2016,2,408.9264285714286
2016,3,407.97
2016,4,406.6407142857143
2016,5,406.7346153846154
2016,6,404.6644444444444
2016,11,409.8281818181818
2016,12,413.81666666666666
2017,1,412.9164285714286
2017,2,414.23
2017,3,410.55285714285714
2017,4,407.6123076923077
2017,5,408.85857142857145
2017,6,406.038125
2017,7,407.4015384615385
2017,8,404.7707142857143
2017,9,403.7033333333333
2017,10,408.30625
2017,11,409.3566666666667
2017,12,415.49625000000003
2018,1,416.80357142857144
2018,2,417.079
2018,3,415.18461538461537
2018,4,412.09230769230766
2018,5,409.968
2018,6,409.9191666666666
2018,7,409.5057142857143
2018,8,407.7878571428572
2018,9,412.1452941176471
2018,10,411.5607692307692
2018,11,413.9486666666666
2018,12,417.26785714285717
2019,1,416.166
2019,2,420.56666666666666
2019,3,419.08384615384614
2019,4,415.26928571428573
2019,5,411.3985714285714
2019,6,409.5325
2019,7,410.1609090909091
2019,8,410.6166666666667
2019,9,409.61
2019,10,415.28999999999996
2019,11,419.3016666666667
2019,12,420.26866666666666
2020,1,419.63153846153847
2020,2,420.0175
2020,3,418.375
2020,4,414.6169230769231
2020,5,414.63866666666667
2020,6,412.38666666666666
2020,7,414.07470588235293
2020,8,411.5506666666667
2020,9,410.6844444444444
2020,10,416.8657894736842
2020,11,420.0941666666667
2020,12,421.2611111111111
2021,1,422.721875
2021,2,424.7904761904762
2021,3,419.4507142857143
2021,4,419.3876923076923
2021,6,414.9707142857143
2021,7,413.85133333333334
2021,8,413.31000000000006
2021,9,414.1835714285714
2021,10,417.5564705882353
2021,11,422.01866666666666
2021,12,421.75
2022,1,426.61333333333334
2022,2,427.40142857142854
2022,3,424.9778571428572
2022,4,423.9188235294118
2022,5,418.763125
2022,6,419.70714285714286
2022,7,420.75944444444445
2022,8,421.39
2022,9,416.8953846153846
2022,10,418.9886666666667
2022,11,425.35153846153844
2022,12,424.55625
