#  Pecos County, Texas Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1992-2020
# Missing: -99
Date,Value,Anomaly
199201,43.3,-3.7
199202,50.8,-0.7
199203,58.0,-0.6
199204,64.1,-1.9
199205,68.4,-6.1
199206,78.0,-3.1
199207,80.5,-1.5
199208,77.7,-3.8
199209,75.5,0.3
199210,66.7,0.5
199211,50.6,-4.4
199212,48.0,0.5
199301,46.8,-0.2
199302,50.2,-1.3
199303,56.5,-2.1
199304,64.7,-1.3
199305,72.0,-2.5
199306,79.4,-1.7
199307,81.8,-0.2
199308,82.0,0.5
199309,72.6,-2.6
199310,63.7,-2.5
199311,50.6,-4.4
199312,49.0,1.5
199401,47.2,0.2
199402,50.1,-1.4
199403,58.6,0.0
199404,65.2,-0.8
199405,73.4,-1.1
199406,84.0,2.9
199407,83.1,1.1
199408,81.5,0.0
199409,73.7,-1.5
199410,66.5,0.3
199411,57.2,2.2
199412,50.4,2.9
199501,46.7,-0.3
199502,54.5,3.0
199503,56.3,-2.3
199504,64.2,-1.8
199505,73.6,-0.9
199506,78.0,-3.1
199507,82.5,0.5
199508,81.4,-0.1
199509,74.4,-0.8
199510,66.6,0.4
199511,56.2,1.2
199512,47.7,0.2
199601,46.9,-0.1
199602,53.3,1.8
199603,52.7,-5.9
199604,64.3,-1.7
199605,80.2,5.7
199606,82.6,1.5
199607,83.5,1.5
199608,78.9,-2.6
199609,72.6,-2.6
199610,64.0,-2.2
199611,55.4,0.4
199612,50.3,2.8
199701,44.4,-2.6
199702,47.2,-4.3
199703,59.0,0.4
199704,58.8,-7.2
199705,71.5,-3.0
199706,77.7,-3.4
199707,82.0,0.0
199708,81.2,-0.3
199709,76.8,1.6
199710,65.1,-1.1
199711,52.4,-2.6
199712,44.2,-3.3
199801,50.3,3.3
199802,50.9,-0.6
199803,55.2,-3.4
199804,63.7,-2.3
199805,79.0,4.5
199806,84.7,3.6
199807,85.2,3.2
199808,79.6,-1.9
199809,77.8,2.6
199810,67.8,1.6
199811,57.6,2.6
199812,47.4,-0.1
199901,51.4,4.4
199902,56.1,4.6
199903,58.3,-0.3
199904,67.5,1.5
199905,74.4,-0.1
199906,78.7,-2.4
199907,80.0,-2.0
199908,82.3,0.8
199909,75.6,0.4
199910,65.4,-0.8
199911,58.5,3.5
199912,46.9,-0.6
200001,50.6,3.6
200002,57.6,6.1
200003,61.4,2.8
200004,67.9,1.9
200005,79.4,4.9
200006,78.7,-2.4
200007,84.3,2.3
200008,82.2,0.7
200009,77.8,2.6
200010,64.1,-2.1
200011,49.4,-5.6
200012,43.9,-3.6
200101,43.9,-3.1
200102,52.1,0.6
200103,54.8,-3.8
200104,68.4,2.4
200105,76.4,1.9
200106,83.4,2.3
200107,85.0,3.0
200108,81.8,0.3
200109,75.5,0.3
200110,66.5,0.3
200111,57.1,2.1
200112,47.1,-0.4
200201,48.1,1.1
200202,46.1,-5.4
200203,55.3,-3.3
200204,70.4,4.4
200205,76.0,1.5
200206,82.3,1.2
200207,80.6,-1.4
200208,83.4,1.9
200209,75.2,0.0
200210,64.8,-1.4
200211,52.0,-3.0
200212,46.9,-0.6
200301,47.9,0.9
200302,49.6,-1.9
200303,58.7,0.1
200304,67.5,1.5
200305,77.0,2.5
200306,80.0,-1.1
200307,80.0,-2.0
200308,81.6,0.1
