#  Texas Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1992-2020
# Missing: -99
Date,Value,Anomaly
199201,45.4,-1.9
199202,53.0,1.8
199203,58.9,0.5
199204,64.5,-0.9
199205,69.6,-3.9
199206,77.9,-2.6
199207,81.4,-1.6
199208,78.2,-4.5
199209,76.0,-0.4
199210,67.4,0.6
199211,51.8,-4.4
199212,48.6,0.3
199301,45.5,-1.8
199302,49.3,-1.9
199303,56.0,-2.4
199304,63.0,-2.4
199305,70.6,-2.9
199306,79.0,-1.5
199307,83.1,0.1
199308,82.9,0.2
199309,75.0,-1.4
199310,64.4,-2.4
199311,51.0,-5.2
199312,49.2,0.9
199401,46.6,-0.7
199402,49.1,-2.1
199403,58.4,0.0
199404,65.0,-0.4
199405,71.5,-2.0
199406,82.1,1.6
199407,82.9,-0.1
199408,81.5,-1.2
199409,74.4,-2.0
199410,66.8,0.0
199411,58.0,1.8
199412,50.6,2.3
199501,48.0,0.7
199502,53.2,2.0
199503,56.5,-1.9
199504,63.8,-1.6
199505,72.4,-1.1
199506,77.4,-3.1
199507,82.7,-0.3
199508,82.2,-0.5
199509,75.4,-1.0
199510,66.3,-0.5
199511,55.9,-0.3
199512,48.8,0.5
199601,45.9,-1.4
199602,52.9,1.7
199603,53.1,-5.3
199604,64.5,-0.9
199605,78.5,5.0
199606,81.1,0.6
199607,83.6,0.6
199608,80.3,-2.4
199609,73.9,-2.5
199610,65.8,-1.0
199611,55.9,-0.3
199612,49.8,1.5
199701,44.9,-2.4
199702,49.0,-2.2
199703,59.4,1.0
199704,59.7,-5.7
199705,70.5,-3.0
199706,77.6,-2.9
199707,82.7,-0.3
199708,81.8,-0.9
199709,78.0,1.6
199710,66.0,-0.8
199711,52.5,-3.7
199712,45.0,-3.3
199801,50.6,3.3
199802,51.1,-0.1
199803,55.0,-3.4
199804,63.0,-2.4
199805,77.2,3.7
199806,83.9,3.4
199807,86.4,3.4
199808,82.3,-0.4
199809,79.5,3.1
199810,68.5,1.7
199811,58.5,2.3
199812,48.2,-0.1
199901,50.3,3.0
199902,56.6,5.4
199903,57.6,-0.8
199904,66.9,1.5
199905,72.8,-0.7
199906,79.2,-1.3
199907,81.8,-1.2
199908,84.3,1.6
199909,75.8,-0.6
199910,65.8,-1.0
199911,59.6,3.4
199912,48.6,0.3
200001,50.7,3.4
200002,57.0,5.8
200003,61.4,3.0
200004,66.1,0.7
200005,76.9,3.4
200006,78.6,-1.9
200007,84.1,1.1
200008,84.2,1.5
200009,78.1,1.7
200010,67.2,0.4
200011,51.1,-5.1
200012,42.4,-5.9
200101,43.9,-3.4
200102,51.9,0.7
200103,53.3,-5.1
200104,67.8,2.4
200105,74.1,0.6
200106,80.9,0.4
200107,85.1,2.1
200108,82.8,0.1
200109,74.9,-1.5
200110,65.4,-1.4
200111,58.9,2.7
200112,49.4,1.1
200201,48.7,1.4
200202,47.1,-4.1
