name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Texas,2007-11-17,21.5,13.4,17.6,21.5,13.4,17.6,13.9,79.3,0.983,100,20.83,rain,0,0,,12.4,156.9,1014.1,71.3,14.8,,,,,2007-11-17T06:58:01,2007-11-17T17:33:29,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72254203999,72253912979,72241612971,72254013904,72254413958,72254753942"
Texas,2007-11-18,23.2,16.6,19.6,23.2,16.6,19.6,16.4,82.3,0.216,100,16.67,rain,0,0,,9.1,119.9,1016.8,75.9,14.3,,,,,2007-11-18T06:58:52,2007-11-18T17:33:04,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72254203999,72253912979,72241612971,72254013904,72254413958,72254753942"
Texas,2007-11-19,25.6,14.4,19.6,25.6,14.4,19.6,15.8,79.9,0.002,100,4.17,rain,0,0,,10.3,185.4,1020.1,58.5,13.6,,,,,2007-11-19T06:59:42,2007-11-19T17:32:40,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72254203999,72253912979,72241612971,72254013904,72254413958,72254753942"
Texas,2007-11-20,27.8,19.9,22.6,28.5,19.9,22.7,17.9,76.2,0,0,0,,0,0,,14.9,172.1,1016.1,80.5,14.9,,,,,2007-11-20T07:00:33,2007-11-20T17:32:18,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254203999,72253912979,72241612971,72254013904,72254413958,72254753942"
Texas,2007-11-21,30.1,9.4,21,30.1,6.2,20.9,13.1,62.3,0,0,0,,0,0,57.2,29.2,313.3,1015.3,56.4,15.5,,,,,2007-11-21T07:01:24,2007-11-21T17:31:57,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254203999,72253912979,72241612971,72254013904,72254413958,72254753942"
Texas,2007-11-22,10,3.5,6.9,10,-0.9,3.7,-3,49.8,0.154,100,8.33,rain,0,0,55.4,24.9,1.3,1028.5,71.6,16,,,,,2007-11-22T07:02:14,2007-11-22T17:31:38,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72254203999,72253912979,72241612971,72254013904,72254413958,72254753942"
Texas,2007-11-23,8.7,4.8,6.8,8.7,1.4,4.9,-1.4,56.3,0.072,100,8.33,rain,0,0,,16,40.6,1026.7,100,16,,,,,2007-11-23T07:03:05,2007-11-23T17:31:21,0.47,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72254203999,72253912979,72241612971,72254013904,72254413958,72254753942"
Texas,2007-11-24,8.2,4.9,5.9,8.2,1,2.9,3.2,83.3,20.768,100,83.33,rain,0,0,48.2,21.7,21.6,1018.3,100,9.4,,,,,2007-11-24T07:03:55,2007-11-24T17:31:06,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72254203999,72253912979,72241612971,72254013904,72254413958,72254753942"
Texas,2007-11-25,6.7,3.7,5.2,6.2,0.9,3.2,2.8,84.5,7.224,100,58.33,rain,0,0,,15.6,326.1,1016.6,91.4,14.3,,,,,2007-11-25T07:04:46,2007-11-25T17:30:52,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72254203999,72253912979,72241612971,72254013904,72254413958,72254753942"
Texas,2007-11-26,16.7,2.2,8.1,16.7,-0.2,7.6,1.6,67.1,0.068,100,4.17,rain,0,0,,10.6,296,1022.4,5.7,15.5,,,,,2007-11-26T07:05:36,2007-11-26T17:30:40,0.57,Rain,Clear conditions throughout the day with morning rain.,rain,"72254203999,72253912979,72241612971,72254013904,72254413958,72254753942"
