name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
texas,2010-07-02,86.2,75.5,77.7,97.4,75.5,78.5,75.1,91.8,0.764,100,75,rain,0,0,30.5,9.1,93.7,1013.8,98.5,8.2,148.8,12.8,5,,2010-07-02T06:33:16,2010-07-02T20:36:42,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2010-07-03,89.6,76.2,82.5,98.6,76.2,87.2,75,79.4,0.018,100,29.17,rain,0,0,21.8,12.5,143.9,1012.1,77.5,7.4,255.3,22,8,,2010-07-03T06:33:41,2010-07-03T20:36:38,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2010-07-04,91.2,78.5,83.9,99.8,78.5,88.4,73.1,71.6,0.001,100,4.17,rain,0,0,22.8,12.9,156.5,1010.8,62.4,9.9,290.2,25.1,9,,2010-07-04T06:34:06,2010-07-04T20:36:34,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2010-07-05,92.6,75.3,83.4,99.5,75.3,87,72.3,71.4,0.008,100,29.17,rain,0,0,16.1,8.2,154.4,1010.1,52.4,9.9,326.2,28,10,,2010-07-05T06:34:33,2010-07-05T20:36:28,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2010-07-06,93.5,75.1,84.3,99.3,75.1,87.8,71.3,67.1,0.093,100,20.83,rain,0,0,,5.5,111.4,1010.4,37.7,9.9,323.5,27.8,10,,2010-07-06T06:35:00,2010-07-06T20:36:20,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2010-07-07,93.4,75.4,84.1,102.6,75.4,88.9,72.4,69.3,0.005,100,20.83,rain,0,0,23,9.9,96.5,1011.2,36.4,9.8,220.8,18.9,7,,2010-07-07T06:35:27,2010-07-07T20:36:11,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2010-07-08,83.6,76.3,78.3,90.6,76.3,79.1,74.5,88.3,0.588,100,41.67,rain,0,0,30,9,84.9,1014,90.9,8.5,155.3,13.5,5,,2010-07-08T06:35:56,2010-07-08T20:36:01,0.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2010-07-09,87.8,75.5,79.8,95.9,75.5,82.9,74.3,84.1,0.329,100,75,rain,0,0,41.4,9.9,112.7,1015.7,67.8,8.3,172,14.8,5,,2010-07-09T06:36:25,2010-07-09T20:35:49,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2010-07-10,91.6,74.9,82.8,101.1,74.9,87.6,73.8,76.1,0.024,100,100,rain,0,0,,7.4,164.8,1015.7,37.5,8.8,290.1,25.1,9,,2010-07-10T06:36:55,2010-07-10T20:35:36,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2010-07-11,91.7,75.8,83.9,99.2,75.8,88.4,73,71.4,0.024,100,100,rain,0,0,20.8,10.3,190,1012.3,9.8,9.8,343.5,29.6,10,,2010-07-11T06:37:25,2010-07-11T20:35:21,0,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2010-07-12,92,78.4,84.3,101.2,78.4,90,74,72.5,0.01,100,41.67,rain,0,0,23,11.8,180.7,1009.5,54.7,9.9,343,29.7,10,,2010-07-12T06:37:56,2010-07-12T20:35:05,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
texas,2010-07-13,92,78.8,84.3,101.6,78.8,89.7,73.9,72.3,0.002,100,8.33,rain,0,0,23.9,13.9,176.8,1010.5,66.3,9.7,324.8,28.1,10,,2010-07-13T06:38:28,2010-07-13T20:34:47,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
